index,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Rawah,Neota,forest_cover_type
1,3245,9,11,67,17,1470,208,219,0,0,
2,3352,171,17,997,113,2674,230,245,0,0,
3,3032,19,10,391,35,2684,213,219,0,0,
4,3203,68,8,85,1,1565,228,225,0,0,
5,3040,232,3,182,21,3207,215,242,1,0,
6,3008,225,2,850,112,5913,216,241,1,0,
7,3000,344,12,360,68,3157,196,222,0,0,
8,2902,130,21,247,101,256,249,223,1,0,
9,3092,297,4,630,7,1061,208,238,0,1,
10,3489,35,17,693,77,2663,216,201,1,0,
11,3333,329,11,120,16,2395,193,227,0,0,
12,2922,251,17,134,16,5092,180,250,1,0,
13,3286,39,13,300,18,1691,220,212,0,1,
14,3190,270,6,362,35,4790,205,242,1,0,
15,2987,297,7,240,14,2722,199,238,1,0,
16,3173,27,15,90,19,3316,212,207,0,0,
17,3016,32,4,484,84,2914,219,230,0,0,
18,3041,287,17,67,8,2881,169,236,0,0,
19,3502,46,16,785,268,2283,223,204,1,0,
20,3119,99,7,30,4,1047,233,230,1,0,
21,3022,240,14,607,313,2596,192,251,0,0,
22,3159,23,8,421,59,5555,216,223,1,0,
23,3221,303,29,0,0,3666,128,212,1,0,
24,2936,336,9,268,23,4518,199,227,1,0,
25,2980,355,6,90,0,5332,211,230,1,0,
26,2821,59,17,90,29,4228,230,203,1,0,
27,3093,140,12,371,102,3582,238,236,1,0,
28,2912,129,31,150,72,966,252,203,0,0,
29,2838,81,12,150,23,1114,237,218,0,0,
30,3269,118,16,210,-61,576,246,224,0,1,
31,3124,77,8,492,47,242,231,225,0,0,
32,3187,117,11,735,179,2395,239,230,0,0,
33,2492,122,9,124,7,1019,236,233,1,0,
34,2855,276,23,395,209,1224,151,237,0,0,
35,3242,27,6,450,-24,792,217,226,0,1,
36,2876,297,13,153,-7,1505,183,235,0,0,
37,3046,331,11,90,11,2182,195,227,0,0,
38,2887,344,9,42,2,2951,203,226,0,0,
39,2884,327,15,153,11,2598,183,223,0,0,
40,3111,310,7,60,16,4271,200,235,1,0,
41,3122,64,8,339,51,601,228,224,0,0,
42,3005,18,1,309,42,4036,218,236,1,0,
43,3276,164,15,454,138,931,233,243,1,0,
44,3089,57,20,342,-13,1624,230,194,1,0,
45,3140,121,23,649,204,1215,251,215,0,0,
46,3090,151,12,90,4,6841,236,240,1,0,
47,2947,77,3,30,1,5340,224,233,1,0,
48,3001,125,13,210,49,4226,241,230,1,0,
49,3021,322,29,402,135,6000,136,197,1,0,
50,2516,76,7,0,0,1441,229,227,1,0,
51,2802,74,10,192,38,3240,232,222,1,0,
52,3385,289,14,424,91,1208,181,238,0,0,
53,3019,83,17,930,221,3072,241,209,0,0,
54,3316,173,24,497,116,2904,227,243,0,0,
55,3293,313,10,342,89,5173,193,233,1,0,
56,3094,307,18,351,77,2704,167,226,1,0,
57,3018,212,9,782,109,5888,213,248,1,0,
58,2752,49,19,150,61,150,224,196,1,0,
59,3146,105,7,339,33,3911,232,232,1,0,
60,2793,86,16,268,37,2017,242,211,1,0,
61,2911,243,20,592,287,765,177,252,0,0,
62,2693,84,9,95,11,2048,233,225,1,0,
63,2790,11,4,0,0,2389,216,232,0,0,
64,2894,56,7,210,17,547,225,226,1,0,
65,3125,68,15,0,0,2486,234,208,1,0,
66,2922,274,12,108,19,5044,189,243,1,0,
67,3117,257,12,162,16,5586,192,247,1,0,
68,3167,108,6,497,33,4468,231,233,1,0,
69,2941,60,5,295,26,4625,224,229,1,0,
70,3102,350,5,306,38,2278,210,231,0,0,
71,3143,39,9,234,45,2006,221,219,1,0,
72,3324,308,11,330,72,4658,190,233,0,0,
73,2545,6,19,67,16,570,194,201,1,0,
74,3014,196,9,495,92,5664,218,248,1,0,
75,3038,116,10,360,66,2382,238,230,0,0,
76,3057,65,15,85,-2,3896,233,207,1,0,
77,2734,10,7,30,0,1652,213,227,1,0,
78,3286,190,16,579,84,2670,218,251,0,0,
79,3093,80,8,30,0,4031,231,225,1,0,
80,2944,337,16,339,60,3126,184,217,0,0,
81,2940,9,6,30,0,1610,213,227,0,0,
82,3220,27,2,212,0,5645,218,234,1,0,
83,2814,71,17,85,12,2005,237,204,1,0,
84,3060,183,22,882,116,3124,220,248,0,0,
85,2764,349,26,268,96,892,164,188,0,0,
86,3268,3,26,540,140,1368,175,179,0,0,
87,2836,322,25,295,81,2451,148,205,0,0,
88,2766,70,11,108,12,2624,232,218,1,0,
89,3120,203,17,212,14,1919,210,253,0,0,
90,3088,299,8,390,34,2475,197,237,0,0,
91,3109,202,19,108,9,5320,208,253,1,0,
92,2999,301,18,60,25,2370,167,229,0,0,
93,3204,283,9,30,6,2821,194,241,0,0,
94,3137,39,16,446,-7,330,219,204,0,1,
95,3285,344,12,745,209,524,195,221,0,0,
96,3050,189,22,108,30,3058,214,250,0,0,
97,2828,103,20,153,54,4065,249,211,1,0,
98,2955,78,18,108,23,4578,241,204,1,0,
99,2727,66,12,458,-16,849,232,215,1,0,
100,3063,240,8,124,16,3078,206,247,0,0,
101,2896,45,1,42,-3,4719,219,236,1,0,
102,3242,10,12,470,-9,4301,206,215,0,0,
103,2768,270,10,134,46,2363,193,244,0,0,
104,2586,137,18,212,45,551,245,230,1,0,
105,3023,188,14,339,69,1248,220,250,0,0,
106,2916,26,9,324,115,4668,216,220,1,0,
107,2947,334,7,324,68,3203,204,231,1,0,
108,2857,318,24,127,44,4764,151,211,1,0,
109,3220,103,3,0,0,3379,225,235,1,0,
110,3395,90,14,426,113,2262,241,216,1,0,
111,3228,47,10,120,16,4471,224,219,0,0,
112,2686,254,18,228,-8,1284,176,249,0,0,
113,2998,35,21,660,229,1806,213,188,0,0,
114,2854,46,22,190,66,4113,220,186,1,0,
115,3095,43,16,510,-79,1390,221,204,1,0,
116,3328,270,25,570,222,510,148,239,0,1,
117,2537,96,6,60,-1,2581,231,231,0,0,
118,2664,189,7,60,3,3462,221,246,0,0,
119,3070,162,19,85,16,3173,235,241,1,0,
120,3027,92,26,446,160,6401,249,190,1,0,
121,3420,69,4,741,227,1148,224,231,0,1,
122,2699,36,7,0,0,1436,220,225,0,0,
123,2835,70,16,150,44,2717,235,208,1,0,
124,3048,91,14,511,109,268,241,217,0,0,
125,3208,34,5,571,66,2750,219,228,1,0,
126,2853,19,14,42,2,1200,208,209,0,0,
127,2762,308,14,42,8,2193,180,230,0,0,
128,3365,52,15,342,86,1879,227,206,1,0,
129,2857,63,6,0,0,4973,226,227,1,0,
130,2800,30,13,60,5,1332,216,212,0,0,
131,3046,214,18,42,13,624,200,254,0,0,
132,2928,73,15,301,64,3212,236,211,1,0,
133,3116,72,9,0,0,1369,231,223,1,0,
134,2974,123,17,466,31,2713,247,225,0,0,
135,2932,233,10,90,16,5204,204,249,1,0,
136,2945,39,6,366,17,1048,220,227,1,0,
137,2993,67,20,150,33,5194,236,195,1,0,
138,3029,203,15,794,123,3000,211,252,0,0,
139,3204,28,17,150,23,1864,211,202,0,0,
140,2951,50,8,127,15,3925,224,223,1,0,
141,2767,129,16,60,0,480,245,229,1,0,
142,2830,92,26,404,169,1698,249,189,0,0,
143,2678,180,1,424,26,918,219,239,1,0,
144,3001,157,12,258,39,1510,233,242,0,0,
145,3153,242,5,361,116,2197,211,243,0,0,
146,3014,164,6,182,6,5389,226,242,1,0,
147,3280,44,14,258,61,2940,222,209,1,0,
148,2820,283,25,95,30,847,145,232,0,0,
149,2648,44,19,470,15,3085,221,196,0,0,
150,3196,194,18,277,62,658,214,252,0,1,
151,3081,349,14,270,67,990,194,217,0,0,
152,3001,311,14,524,16,1387,181,229,0,0,
153,3265,277,16,418,67,3116,174,241,0,0,
154,3214,25,17,516,42,1476,209,201,0,1,
155,3247,16,15,552,72,3478,206,208,1,0,
156,3211,122,4,0,0,4793,228,236,1,0,
157,2766,311,17,30,5,3893,172,226,1,0,
158,2894,39,19,295,17,484,217,195,1,0,
159,3078,98,21,108,36,953,249,205,1,0,
160,2758,207,5,268,17,2460,217,245,1,0,
161,3067,65,13,242,-12,3336,232,214,1,0,
162,2575,58,14,95,10,268,229,211,1,0,
163,2847,20,28,268,116,999,188,170,0,0,
164,2907,246,18,212,99,1782,180,251,0,0,
165,3192,199,16,446,49,2368,213,252,1,0,
166,2989,5,14,0,0,1583,201,212,1,0,
167,3057,303,15,124,31,2922,179,232,1,0,
168,3192,309,13,150,7,711,184,231,0,1,
169,3114,60,7,201,23,2429,225,226,1,0,
170,2805,354,15,42,7,2166,195,213,1,0,
171,2993,299,14,255,78,4469,180,234,1,0,
172,3226,150,15,661,3,2925,238,238,0,0,
173,3016,351,6,60,-2,811,210,230,0,1,
174,3190,177,18,268,89,2967,226,247,0,0,
